0.590000 1.286222  1.704444  2.607000  3.176296  3.661111  4.217333  4.573333  4.996741  5.448000  6.592593  7.058333  7.941333  8.975778  9.836296  11.358333  12.468148  14.182407  15.756000  17.876185  19.318519  21.772333  22.425333  22.002481  19.328000  19.652778  15.472889  11.286000  6.301037  3.145963  1.666667  0.462704  0.113778  0.000000  0.000000  0.000000  
0.590100 1.285333  1.704000  2.606667  3.173926  3.656481  4.213333  4.566074  4.989630  5.448000  6.588889  7.026963  7.936000  9.000815  9.843556  11.358333  12.458667  14.214519  15.780000  17.889556  19.303704  21.821333  22.407407  22.022074  19.328000  19.768519  15.472889  11.286000  6.301037  3.145963  1.666667  0.462704  0.113778  0.000000  0.000000  0.000000  
0.590200 1.284889  1.702815  2.605000  3.166815  3.646296  4.217333  4.566074  4.987259  5.430000  6.574074  7.031444  7.952000  9.019593  9.829037  11.341667  12.439704  14.214519  15.804000  17.876185  19.348148  21.837667  22.425333  22.100444  19.370667  19.791667  15.522963  11.232000  6.359111  3.145963  1.666667  0.462704  0.113778  0.000000  0.000000  0.000000  
0.590300 1.284296  1.701333  2.603333  3.165037  3.645370  4.210667  4.564259  4.984889  5.433000  6.559259  7.018000  7.957333  9.038370  9.850815  11.341667  12.449185  14.182407  15.864000  17.809333  19.407407  21.837667  22.443259  22.139630  19.349333  19.791667  15.573037  11.232000  6.359111  3.177111  1.666667  0.462704  0.113778  0.000000  0.000000  0.000000  
0.590400 1.283556  1.699852  2.601667  3.165037  3.643519  4.210667  4.553370  4.980148  5.421000  6.562963  7.009037  7.946667  9.038370  9.858074  11.325000  12.477630  14.128889  15.924000  17.849444  19.407407  21.821333  22.550815  22.100444  19.392000  19.837963  15.548000  11.232000  6.417185  3.177111  1.633333  0.498296  0.113778  0.000000  0.000000  0.000000  
0.590500 1.282852  1.698222  2.601000  3.162074  3.641667  4.208000  4.555185  4.977778  5.430000  6.551852  6.977667  7.952000  9.025852  9.843556  11.333333  12.496593  14.150296  15.936000  17.836074  19.362963  21.903000  22.568741  22.139630  19.392000  19.861111  15.548000  11.286000  6.446222  3.177111  1.633333  0.498296  0.113778  0.000000  0.000000  0.000000  
0.590600 1.282259  1.696889  2.601000  3.162667  3.637963  4.212000  4.549741  4.973037  5.433000  6.566667  6.964222  7.936000  9.019593  9.843556  11.316667  12.525037  14.139593  15.924000  17.849444  19.377778  21.886667  22.604593  22.139630  19.413333  19.907407  15.598074  11.313000  6.446222  3.177111  1.633333  0.498296  0.113778  0.000000  0.000000  0.000000  
0.590700 1.281519  1.695704  2.601667  3.157333  3.637963  4.209333  4.551556  4.975407  5.427000  6.559259  6.955259  7.925333  9.019593  9.821778  11.325000  12.562963  14.107481  15.936000  17.836074  19.422222  21.919333  22.550815  22.178815  19.434667  19.976852  15.623111  11.313000  6.504296  3.177111  1.633333  0.498296  0.113778  0.000000  0.000000  0.000000  
0.590800 1.280333  1.694222  2.601000  3.157926  3.636111  4.208000  4.549741  4.973037  5.418000  6.559259  6.932852  7.898667  9.057148  9.814519  11.325000  12.506074  14.171704  15.948000  17.916296  19.333333  21.952000  22.604593  22.178815  19.520000  19.953704  15.648148  11.313000  6.504296  3.208259  1.633333  0.498296  0.113778  0.000000  0.000000  0.000000  
0.590900 1.279667  1.692593  2.598667  3.153185  3.636111  4.209333  4.555185  4.968296  5.406000  6.562963  6.937333  7.888000  9.063407  9.792741  11.333333  12.487111  14.214519  15.924000  17.889556  19.288889  21.984667  22.676296  22.198407  19.605333  19.837963  15.798370  11.286000  6.591407  3.208259  1.633333  0.498296  0.113778  0.000000  0.000000  0.000000  
0.591000 1.279111  1.690815  2.597667  3.151407  3.634259  4.197333  4.547926  4.963556  5.412000  6.570370  6.950778  7.888000  9.057148  9.763704  11.350000  12.496593  14.214519  15.888000  17.929667  19.333333  21.952000  22.694222  22.237593  19.584000  19.907407  15.798370  11.340000  6.591407  3.239407  1.633333  0.498296  0.113778  0.000000  0.000000  0.000000  
0.591100 1.278333  1.689778  2.594667  3.149630  3.635185  4.193333  4.546111  4.963556  5.409000  6.555556  6.964222  7.866667  9.057148  9.778222  11.350000  12.525037  14.193111  15.864000  17.943037  19.377778  21.903000  22.658370  22.296370  19.605333  20.000000  15.873481  11.313000  6.591407  3.270556  1.633333  0.498296  0.113778  0.000000  0.000000  0.000000  
0.591200 1.277704  1.688593  2.592667  3.147852  3.634259  4.190667  4.546111  4.963556  5.406000  6.570370  6.964222  7.861333  9.019593  9.763704  11.400000  12.515556  14.203815  15.876000  17.943037  19.377778  21.870333  22.658370  22.394333  19.626667  19.976852  15.873481  11.394000  6.591407  3.270556  1.633333  0.498296  0.113778  0.000000  0.000000  0.000000  
0.591300 1.277259  1.688148  2.589667  3.148444  3.630556  4.193333  4.546111  4.954074  5.391000  6.562963  6.964222  7.861333  9.007074  9.792741  11.383333  12.515556  14.225222  15.876000  17.943037  19.407407  21.837667  22.622519  22.453111  19.712000  19.953704  15.923556  11.421000  6.591407  3.301704  1.633333  0.498296  0.113778  0.000000  0.000000  0.000000  
