0.000000 0.000000
0.010000 0.000000
0.020000 0.000000
0.030000 0.000000
0.040000 0.000000
0.050000 0.000000
0.060000 0.000000
0.070000 0.000000
0.080000 0.000000
0.090000 0.000000
0.100000 0.000000
0.110000 0.000000
0.120000 0.000000
0.130000 0.000000
0.140000 0.000000
0.150000 0.000008
0.160000 0.000023
0.170000 0.000023
0.180000 0.000024
0.190000 0.000033
0.200000 0.000043
0.210000 0.000053
0.220000 0.000053
0.230000 0.000083
0.240000 0.000129
0.250000 0.000200
0.260000 0.000269
0.270000 0.000387
0.280000 0.000504
0.290000 0.000700
0.300000 0.000958
0.310000 0.001411
0.320000 0.001931
0.330000 0.002454
0.340000 0.003111
0.350000 0.003958
0.360000 0.005214
0.370000 0.006837
0.380000 0.008749
0.390000 0.011102
0.400000 0.014216
0.410000 0.017418
0.420000 0.021557
0.430000 0.026582
0.440000 0.032269
0.450000 0.038797
0.460000 0.046706
0.470000 0.055373
0.480000 0.065737
0.490000 0.077362
0.500000 0.090248
0.510000 0.104333
0.520000 0.120191
0.530000 0.136902
0.540000 0.155141
0.550000 0.174818
0.560000 0.196847
0.570000 0.219110
0.580000 0.243536
0.590000 0.267779
0.600000 0.293830
0.610000 0.322106
0.620000 0.349553
0.630000 0.376932
0.640000 0.405493
0.650000 0.434072
0.660000 0.463271
0.670000 0.491439
0.680000 0.519698
0.690000 0.547476
0.700000 0.574270
0.710000 0.600038
0.720000 0.624791
0.730000 0.648150
0.740000 0.671156
0.750000 0.691813
0.760000 0.711387
0.770000 0.729710
0.780000 0.746903
0.790000 0.763891
0.800000 0.779178
0.810000 0.793714
0.820000 0.807300
0.830000 0.820526
0.839999 0.833120
0.849999 0.845116
0.859999 0.856461
0.869999 0.867677
0.879999 0.878552
0.889999 0.889349
0.899999 0.899805
0.909999 0.910065
0.919999 0.920328
0.929999 0.930523
0.939999 0.940567
0.949999 0.950531
0.959999 0.960510
0.969999 0.970484
0.979999 0.980385
0.989999 0.990178
0.999999 0.999998
